,Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
83,P1,1046.7,0.02027776,0.5036,0.7317786550590281,0.1903
84,P1,1046.8,0.022290489999999996,0.6161,0.7209022125087424,0.1828
215,P1,1059.9,0.015575039999999998,0.2601,0.781984654580894,0.2453
216,P1,1060.0,0.01490841,0.1909,0.8309031231136396,0.2655
348,P1,1073.2,0.017956000000000003,0.336,0.7733692520394123,0.2125
349,P1,1073.3,0.01687401,0.3795,0.7332803011127463,0.2203
350,P1,1073.4,0.017956000000000003,0.2847,0.8062877898120497,0.2165
527,P1,1091.1,0.00948676,0.1388,0.759670981412348,0.3669
528,P1,1091.2,0.006988959999999999,0.0803,0.7767882594375382,0.4422
529,P1,1091.3,0.00564001,0.052000000000000005,0.7993747556684537,0.491
530,P1,1091.4,0.00541696,0.0337,0.8768694315575153,0.5207
618,P1,1100.2,0.009408999999999997,0.1667,0.7234638899074369,0.3587
619,P1,1100.3,0.009447839999999999,0.1338,0.7655716818169283,0.3696
708,P1,1109.2,0.010588410000000001,0.1895,0.7319152956456095,0.332
709,P1,1109.3,0.008335690000000002,0.1659,0.6919537556802478,0.378
710,P1,1109.4,0.00736164,0.1499,0.6772001181334806,0.4008
711,P1,1109.5,0.007796890000000001,0.1037,0.7592101158440923,0.4132
742,P1,1112.6,0.015876,0.4903,0.671863081289633,0.2253
757,P1,1114.1,0.015575039999999998,0.5047,0.6624198064671678,0.228
758,P1,1114.2,0.014352040000000002,0.4891,0.647688196588451,0.2422
759,P1,1114.3,0.015525160000000001,0.4544,0.6792643079096677,0.2305
787,P1,1117.1,0.014352040000000002,0.3704,0.6940461079784254,0.2493
829,P1,1121.3,0.01073296,0.1974,0.7286288492778749,0.3277
830,P1,1121.4,0.009721959999999998,0.1596,0.740472821918536,0.3555
941,P1,1132.5,0.01234321,0.2867,0.6992138442565335,0.2858
1001,P1,1138.5,0.00908209,0.1346,0.7528612089887484,0.3757
1002,P1,1138.6,0.00976144,0.1549,0.747127833774114,0.3564
1082,P1,1146.6,0.01136356,0.2304,0.7162401831787993,0.3102
1083,P1,1146.7,0.01094116,0.2041,0.7275300681071539,0.3226
1100,P1,1148.4,0.006972250000000001,0.0858,0.763544366752843,0.4388
1101,P1,1148.5,0.005184000000000001,0.0498,0.7828154316312371,0.501
1102,P1,1148.6,0.0044756100000000005,0.0391,0.7863841300534999,0.5258
1103,P1,1148.7,0.00455625,0.0342,0.8188406438373709,0.5325
1104,P1,1148.8,0.00535824,0.0416,0.8283718971573094,0.5087
1189,P1,1157.3,0.007568999999999999,0.0849,0.7892401408950257,0.4286
1190,P1,1157.4,0.007551610000000001,0.086,0.7861297602813418,0.4282
1248,P1,1163.2,0.00970225,0.1448,0.7575618786607468,0.3608
1249,P1,1163.3,0.008817209999999999,0.1169,0.7714272486761146,0.3881
1250,P1,1163.4,0.009139360000000001,0.1069,0.7996874389409903,0.3873
1988,P2,1079.2,0.01142761,0.2272,0.7201388754955532,0.3098
2872,P3,937.9,0.02047761,0.6041,0.7019259220174163,0.1895
2873,P3,938.0,0.017609290000000003,0.5042,0.6937578828380979,0.2088
3582,P3,1008.9,0.009920159999999999,0.2815,0.6473793323855805,0.3248
3583,P3,1009.0,0.007482249999999999,0.1522,0.6791906948714772,0.3979
3584,P3,1009.1,0.0064963600000000005,0.1042,0.7078841713161836,0.4362
3585,P3,1009.2,0.0068227600000000015,0.0995,0.7295889253545451,0.433
3586,P3,1009.3,0.00829921,0.1136,0.7594076639065476,0.399
3921,P3,1042.8,0.016027559999999996,0.503,0.6702238432046416,0.2234
3922,P3,1042.9,0.01373584,0.531,0.6239390995922599,0.2478
3923,P3,1043.0,0.01249924,0.4095,0.6426507605223851,0.2708
4635,P4,1064.3,0.013479209999999998,0.4189,0.6575712889109439,0.2569
4636,P4,1064.4,0.01065024,0.3674,0.62185207244167,0.302
4637,P4,1064.5,0.00956484,0.1774,0.7163797875428927,0.3528
4662,P4,1067.0,0.01605289,0.5264,0.6631741852635701,0.2225
4663,P4,1067.1,0.011664000000000002,0.4219,0.6216912416947822,0.2817
4664,P4,1067.2,0.009025,0.2708,0.6306346010171024,0.3416
4665,P4,1067.3,0.00801025,0.1484,0.7008566187174093,0.3896
4666,P4,1067.4,0.008464,0.1094,0.772269383052313,0.3981
4753,P4,1076.1,0.01387684,0.6148,0.6037383539249432,0.2436
4754,P4,1076.2,0.012996,0.3596,0.6736467917239716,0.2681
4795,P4,1080.3,0.027888999999999994,2.8081,0.5365631370118525,0.3014
4796,P4,1080.4,0.030380490000000003,4.0125,0.5068530358989675,0.3757
4905,P4,1091.3,0.01996569,0.9023,0.628728876384726,0.1976
4976,P4,1098.4,0.015951689999999998,0.5394,0.6575712889109439,0.2232
4977,P4,1098.5,0.01168561,0.368,0.6434283176858164,0.2861
4978,P4,1098.6,0.008353959999999999,0.2232,0.643039656630911,0.3626
4979,P4,1098.7,0.006193690000000001,0.1177,0.6743144666993286,0.4349
4980,P4,1098.8,0.005372890000000001,0.0667,0.7372923436466704,0.481
4981,P4,1098.9,0.00570025,0.0477,0.8198170527623831,0.4951
5037,P4,1104.5,0.015475359999999999,0.541,0.6494613152451807,0.2279
5038,P4,1104.6,0.01404225,0.4564,0.6535288822997802,0.2475
5039,P4,1104.7,0.01329409,0.3553,0.681322243875833,0.2644
5085,P4,1109.3,0.021579610000000003,1.0292,0.6262587324740471,0.1969
5091,P4,1109.9,0.026601609999999998,1.817,0.5877924803874238,0.2412
5097,P4,1110.5,0.012543999999999998,0.3604,0.6643041472096949,0.2744
5098,P4,1110.6,0.009312250000000001,0.282,0.6315061361538777,0.3348
5099,P4,1110.7,0.007174089999999999,0.1832,0.6379655163094633,0.3936
5100,P4,1110.8,0.00616225,0.085,0.7302739212103907,0.4536
5101,P4,1110.9,0.00646416,0.0508,0.8458723307923011,0.4785
5147,P4,1115.5,0.01147041,0.2693,0.6913031173081747,0.3017
5148,P4,1115.6,0.00831744,0.1946,0.6644546636152086,0.3701
5149,P4,1115.7,0.006756839999999999,0.1473,0.6587867636800242,0.4127
5150,P4,1115.8,0.006115240000000001,0.0889,0.7197916365171243,0.4518
5155,P4,1116.3,0.0121,0.2995,0.6864400920692205,0.2877
5156,P4,1116.4,0.01350244,0.3898,0.669776081985614,0.2587
5157,P4,1116.5,0.01505529,0.4614,0.6690291473471093,0.2354
5176,P4,1118.4,0.016129,0.5278,0.6635510530471638,0.2217
5220,P4,1122.8,0.019404490000000003,0.8277,0.6356886030125127,0.1982
5221,P4,1122.9,0.01779556,0.7093,0.6396092557178953,0.2062
5239,P4,1124.7,0.012454560000000002,0.2684,0.7134423592694787,0.2868
5240,P4,1124.8,0.010281960000000001,0.2029,0.7117583859709699,0.3339
5241,P4,1124.9,0.009177639999999999,0.1924,0.6915200647848189,0.3555
5242,P4,1125.0,0.00887364,0.1774,0.6966347680097513,0.3649
5243,P4,1125.1,0.009408999999999997,0.1482,0.7452516353554683,0.3649
5249,P4,1125.7,0.010383610000000001,0.3473,0.6244997998398398,0.3083
5250,P4,1125.8,0.009139360000000001,0.2923,0.6217716622683925,0.3362
5251,P4,1125.9,0.009331560000000001,0.1311,0.7655063683601855,0.3727
5284,P4,1129.2,0.016332839999999998,0.5924,0.647688196588451,0.2185
5876,P5,1104.0,0.02007889,0.8908,0.6322973983814895,0.1968
6056,P5,1122.0,0.0039942400000000005,0.0149,0.959218431849597,0.5909
6057,P5,1122.1,0.00364816,0.0148,0.9284395510748128,0.5943
6058,P5,1122.2,0.0038192400000000002,0.0231,0.8452218643646175,0.5653
6059,P5,1122.3,0.00452929,0.0381,0.7956129712366434,0.5266
6060,P5,1122.4,0.00580644,0.0494,0.8181075723888638,0.4912
6065,P5,1122.9,0.00912025,0.124,0.7695453203028396,0.3794
6124,P5,1128.8,0.0068227600000000015,0.0526,0.8557452892070163,0.4702
6125,P5,1128.9,0.00751689,0.0861,0.7840918313565064,0.4287
6126,P5,1129.0,0.009139360000000001,0.153,0.7307530362578044,0.3679
6227,P5,1139.1,0.01157776,0.1571,0.7935993951610598,0.3248
6228,P5,1139.2,0.01106704,0.1758,0.7586830695356264,0.3277
6383,P5,1154.7,0.00710649,0.0464,0.8963258336118624,0.4728
6384,P5,1154.8,0.00646416,0.0347,0.9302687783646186,0.5021
6385,P5,1154.9,0.00683929,0.0447,0.8923003978481686,0.4799
6386,P5,1155.0,0.00819025,0.0808,0.8230431337420901,0.4203
